gene	Example
LINC02906	0
LINC02907	0
LINC02908	0
LINC02909	0
LINC02912	0
LINC02914	0
LINC02915	0
LINC02916	3
LINC02917	0
LINC02918	0
LINC02919	0
LINC02920	1
LINC02922	0
LINC02923	0
LINC02924	3
LINC02925	0
LINC02926	0
LINC02927	0
LINC02928	0
LINC02929	0
LINC02930	0
LINC02931	0
LINC02932	0
LINC02933	0
LINC02934	0
LINC02935	1.889
LINC02936	5
LINC02937	1
LINC02938	0
LINC02939	0
LINC02940	0
LINC02941	0
LINC02942	0
LINC02943	0
LINC02944	0
LINC02945	0
LINC02947	0
LINC02948	0
LINC02949	1
LINC02950	1.445
LINC02951	0
LINC02952	0
LINC02953	0
LINC02954	0
LINC02955	0
LINC02956	0
LINC02957	0
LINC02958	0
LINC02959	0
LINC02960	1
LINC02961	0
LINC02963	0
LINC02965	1.752
LINC02966	3
LINC02967	10
LINC02968	0
LINC02970	0
LINC02971	0
LINC02972	22.565
LINC02973	0
LINC02974	0
LINC02975	0
LINC02976	2
LINC02977	54.001
LINC02978	0
LINC02979	0
LINC02980	34.18
LINC02981	0
LINC02982	1.022
LINC02983	0
LINC02984	0
LINC02985	2
LINC02986	0
LINC02987	8
LINC02988	0
LINC02989	0
LINC02991	0
LINC02993	0
LINC02994	2.173
LINC02995	0
LINC02997	0
LINC02999	0
LINC03000	9.372
LINC03002	0.981
LINC03003	0
LINC03004	0
LINC03006	0
LINC03007	0
LINC03008	0
LINC03009	21.357
LINC03010	0
LINC03011	1
LINC03012	0
LINC03013	0
LINC03014	1
LINC03015	2
LINC03016	1
LINC03017	0
LINC03018	0
LINC03019	0
LINC03020	0
LINC03021	0
LINC03022	0
LINC03023	0
LINC03025	0
LINC03028	0
LINC03031	0
LINC03033	48.27
LINC03034	10
LINC03036	0
LINC03037	0
LINC03040	471.001
LINC03041	0
LINC03042	0
LINC03043	0
LINC03044	0
LINC03046	0
LINC03047	0
LINC03048	0
LINC03050	4.483
LINC03051	0
LINC03052	11
LINC03053	0
LINC03054	0
LINC03056	0
LINC03057	81
LINC03058	0
LINC03059	1
LINC03060	11
LINC03062	0
LINC03064	6
LINC03065	0
LINC03066	0
LINC03067	1.113
LINC03068	0
LINC03070	0
LINC03071	0
LINC03072	10.008
LINC03073	0
LINC03074	0
LINC03075	0
LINC03076	1
LINC03077	1.003
LINC03078	5
LINC03079	0
LINC03080	0
LINC03082	0
LINC03083	0
LINC03084	0
LINC03085	1
LINC03086	0
LINC03088	0
LINC03089	0
LINC03090	1
LINC03093	0
LINC03094	0
LINC03095	0
LINC03096	0
LINC03097	0
LINC03098	1
LINC03099	0.891
LINC03100	2
LINC03102	0
LINC03103	0
LINC03104	98.016
LINC03105	29.746
LINC03106	0
LINC03107	0
LINC03108	0
LINC03109	0
LINC03110	0
LINC03111	0
LINC03114	0
LINC03116	0
LINC03121	0
LINC03122	0
LINC03123	0
LINC03124	1.265
LINC03125	4
LINC03126	0
LINC03129	1
LINC03130	1.517
LINC03131	0
LINC03133	0
LINC03135	0
LINC03136	0
LINC03137	0
LINC03138	0
LINC03140	0
LINC03141	9
LINC03142	0
LINC03143	3
LINC03144	0
LINC03146	0
LINCMD1	0
LINGO1	0
LINGO1-AS1	0
LINGO1-AS2	0
LINGO2	0
LINGO3	2
LINGO4	0
LINP1	0
LINS1	95.001
LIPA	800
LIPC	3.994
LIPC-AS1	0
LIPE	5
LIPE-AS1	2
LIPF	0
LIPG	171.287
LIPH	956.256
LIPI	0
LIPJ	0
LIPK	0
LIPM	0
LIPN	0
LIPT1	30.253
LIPT1P1	0
LIPT2	10
LIPT2-AS1	14
LIRIL2R	0
LITAF	924.561
LITAFD	4.584
LITATS1	19
LIVAR	0
LIX1	0
LIX1-AS1	0
LIX1L	28.601
LIX1L-AS1	0
LKAAEAR1	0
LLCFC1	0
LLGL1	89.09
LLGL2	459.5
LLPH	123.439
LLPH-DT	0
LLPHP1	0
LLPHP2	0
LLPHP3	6.469
LMAN1	1571
LMAN1L	0
LMAN2	421.002
LMAN2L	39
LMBR1	329.23
LMBR1L	126
LMBRD1	828.213
LMBRD2	260
LMCD1	3
LMCD1-AS1	0.977
LMF1	35.999
LMF1-AS1	0
LMF2	78
LMLN	87
LMLN-AS1	0
LMNA	239.236
LMNB1	26
LMNB1-DT	0
LMNB2	46
LMNTD1	1.197
LMNTD2	13
LMNTD2-AS1	48
LMO1	0
LMO2	0
LMO3	0
LMO4	298
LMO7	2481.807
LMO7-AS1	0
LMO7DN	0
LMOD1	1
LMOD2	0
LMOD3	0
LMTK2	715
LMTK3	57.949
LMX1A	0
LMX1A-AS1	0
LMX1A-AS2	0
LMX1B	1
LMX1B-DT	0
LNC-LBCS	4
LNC-RHL1	0
LNC-WAL	192
LNCARGI	0
LNCAROD	0
LNCARSR	1.965
LNCATV	1
LNCBRM	0
LNCEGFL7OS	0
LNCHR1	0
LNCNEF	0
LNCOB1	0
LNCOC1	0
LNCOG	0
LNCPOIR	0
LNCPRESS1	0
LNCPRESS2	0
LNCPTCTS	0
LNCRI	0
LNCRNA-IUR	2
LNCROPM	0
LNCSRLR	2
LNCTAM34A	2
LNCTSI	0
LNMICC	0
LNP1	4
LNPEP	460
LNPK	180.999
LNPPS	0
LNROP	0
LNX1	14
LNX1-AS1	0
LNX1-AS2	0
LNX2	476.853
LOH12CR2	1.945
LOHAN2	0
LOLI1	0
LONP1	84.387
LONP2	841.996
LONRF1	39
LONRF2	14.107
LONRF2P1	0
LONRF2P2	0
LONRF2P3	0
LONRF2P4	0
LONRF2P5	0
LONRF3	14
LORICRIN	0
LOX	0
LOXHD1	0
LOXL1	8
LOXL1-AS1	10.02
LOXL2	4
LOXL2-AS1	6
LOXL3	0
LOXL4	386
LPA	0
LPAL2	3.374
LPAR1	0
LPAR2	41
LPAR3	5
LPAR4	0
LPAR5	195
LPAR6	35
LPCAT1	142
LPCAT2	655.158
LPCAT2BP	0
LPCAT3	662.001
LPCAT4	286.444
LPGAT1	1026.325
LPGAT1-AS1	0
LPIN1	425.336
LPIN2	438.839
LPIN2-AS1	0
LPIN2-AS2	0
LPIN3	183.091
LPL	0
LPO	27
LPP	1954.938
LPP-AS1	0
LPP-AS2	5
LPXN	23
LRAT	232.001
LRATD1	127
LRATD2	351
LRBA	970.706
LRBA-AS1	0
LRCH1	415.999
LRCH2	0
LRCH3	183.882
LRCH4	100.802
LRCOL1	0
LRFN1	0
LRFN2	0
LRFN3	40.008
LRFN4	3
LRFN5	0
LRFN5-DT	0
LRG1	10.105
LRGUK	0
LRIF1	245
LRIG1	13
LRIG2	378.149
LRIG2-DT	7.583
LRIG3	39
LRIG3-DT	0
LRIT1	0
LRIT2	0
LRIT3	0
LRMDA	0
LRP1	1669.001
LRP1-AS	0
LRP10	3068
LRP11	247.933
LRP12	4.022
LRP1B	0
LRP2	0
LRP2BP	5.015
LRP3	4
LRP4	97.999
LRP4-AS1	1
LRP5	595.999
LRP5L	0
LRP6	272
LRP8	23.999
LRP8-DT	0
LRPAP1	291.007
LRPPRC	644.002
LRR1	33
LRRC1	1255
LRRC10	0
LRRC10B	1
LRRC14	42.001
LRRC14B	0
LRRC15	0
LRRC17	2
LRRC18	0
LRRC19	46.014
LRRC2	0
LRRC2-AS1	0
LRRC20	8
LRRC23	16.431
LRRC24	0
LRRC25	3.976
LRRC26	0
LRRC27	9.001
LRRC28	203.586
LRRC2P1	0
LRRC3	9.305
LRRC3-DT	0
LRRC30	0
LRRC31	10
LRRC32	0
LRRC32-AS1	0
LRRC34	1
LRRC34P1	0
LRRC34P2	0
LRRC36	0
LRRC37A	10.613
LRRC37A11P	0
LRRC37A12P	0
LRRC37A13P	0
LRRC37A14P	0
LRRC37A15P	0
LRRC37A16P	0
LRRC37A17P	0
LRRC37A2	40.154
LRRC37A3	5.006
LRRC37A4P	0
LRRC37A5P	2.028
LRRC37A6P	0
LRRC37A7P	1
LRRC37A9P	0
LRRC37B	33.131
LRRC37BP1	0
LRRC38	0
LRRC39	7
LRRC3B	0
LRRC3B-AS1	0
LRRC3C	0
LRRC4	0
LRRC40	199
LRRC41	210.601
LRRC42	304.999
LRRC43	1
LRRC45	2
LRRC46	2
LRRC47	106.914
LRRC49	11.591
LRRC4B	0
LRRC4C	0
LRRC51	35.23
LRRC52	0
LRRC52-AS1	0
LRRC53	0
LRRC55	0
LRRC56	3
LRRC57	127.375
LRRC57P1	0
LRRC58	317.373
LRRC59	559
LRRC59-AS1	0
LRRC61	18
LRRC63	0
LRRC66	887
LRRC69	3
LRRC7	0
LRRC7-AS1	0
LRRC70	0
LRRC71	0
LRRC72	0
LRRC73	8
LRRC74A	0
LRRC74B	0
LRRC75A	533.001
LRRC75B	76.001
LRRC77P	0
LRRC78P	0
LRRC8A	426
LRRC8B	141.965
LRRC8C	37
LRRC8C-DT	0
LRRC8D	535
LRRC8D-DT	1
LRRC8E	85
LRRC9	0
LRRCC1	16
LRRD1	0
LRRFIP1	1424.705
LRRFIP1P1	0
LRRFIP2	491
LRRFIP2P1	0
LRRIQ1	0
LRRIQ3	2
LRRIQ4	0
LRRK1	9123.559
LRRK1-AS1	0
LRRK2	0
LRRK2-DT	0
LRRN1	0
LRRN2	0
LRRN3	0
LRRN4	0
LRRN4CL	0
LRRTM1	0
LRRTM2	0
LRRTM3	0
LRRTM4	2.234
LRRTM4-AS1	0
LRSAM1	38
LRTM1	0
LRTM2	0
LRTOMT	1.124
LRWD1	31.991
LSAMP	0
LSAMP-AS1	0
LSG1	90
LSINCT5	1.699
LSM1	93.999
LSM10	38
LSM11	30.094
LSM12	347.898
LSM12P1	105.103
LSM14A	534.001
LSM14B	104
LSM1P1	0
LSM1P2	0
LSM2	98
LSM2P1	1.98
LSM2P2	0
LSM3	755.075
LSM3P2	0
LSM3P3	0
LSM3P4	0
LSM3P5	0
LSM4	271
LSM5	171.001
LSM6	39
LSM6P2	0
LSM7	97.994
LSM8	80.037
LSMEM1	23
LSMEM2	0
LSP1	0
LSP1P1	0
LSP1P2	0
LSP1P3	0
LSR	780
LSS	440
LST1	0
LTA	0
LTA4H	974
LTB	1
LTB4R	1
LTB4R2	0
LTBP1	642
LTBP2	1
LTBP3	85.611
LTBP4	160.002
LTBR	204.295
LTC4S	0
LTF	0
LTK	1
LTN1	376
LTO1	33
LTO1P1	0
LTV1	46
LTV1P1	0
LUADT1	0
LUARIS	0
LUC7L	278.976
LUC7L2	201.431
LUC7L3	612
LUCAT1	7.572
LUM	0
LUNAR1	0
LURAP1	4
LURAP1L	94
LURAP1L-AS1	1
LUZP1	0
LUZP2	34
LUZP4	0
LUZP4P1	0
LVRN	1
LXN	137
LY6D	30
LY6E	72
LY6E-DT	0
LY6G5B	15.007
LY6G5C	2
LY6G6C	10
LY6G6D	0
LY6G6E	0
LY6G6F	0
LY6G6F-LY6G6D	0
LY6H	0
LY6K	0
LY6L	0
LY6S-AS1	0
LY75	1362.234
LY75-CD302	6.27
LY86	0
LY86-AS1	0
LY9	1
LY96	0
LYAR	32
LYARP1	0
LYG1	2
LYG2	0
LYL1	0
LYN	323.244
LYNX1	0
LYNX1-SLURP2	0
LYPD1	5
LYPD2	1
LYPD3	27
LYPD4	1
LYPD5	3
LYPD6	2
LYPD6B	0
LYPD8	217.957
LYPD9P	0
LYPLA1	822.001
LYPLA1P1	0
LYPLA1P2	1
LYPLA1P3	0
LYPLA2	104
LYPLA2P1	0
LYPLA2P2	0
LYPLA2P3	0
LYPLAL1	93
LYPLAL1-AS1	1.116
LYPLAL1-DT	0
LYRM1	123
LYRM2	210.867
LYRM4	41.477
LYRM4-AS1	8
LYRM7	161.488
LYRM9	32
LYRM9-AS1	0
LYSET	79
LYSETP1	0
LYSMD1	60
LYSMD2	8
LYSMD3	234.001
LYSMD4	21
LYST	102.449
LYVE1	0
LYZ	31740.757
LYZL1	0
LYZL2	0
LYZL4	0
LYZL6	0
LZIC	378
LZTFL1	54.687
LZTR1	50.999
LZTS1	0
LZTS1-AS1	0
LZTS2	47
LZTS3	49
M1AP	0
M6PR	141
M6PRP1	0
MAB21L1	0
MAB21L2	0
MAB21L3	16.611
MAB21L4	13.001
MACC1	327.999
MACC1-AS1	0
MACC1-OT1	0
MACF1	446.113
MACIR	273
MACO1	261
MACORIS	0
MACROD1	21.266
MACROD2	5.873
MACROD2-AS1	0
MACROD2-IT1	0
MACROH2A1	1717
MACROH2A2	45
MAD1L1	13
MAD2L1	9
MAD2L1-DT	1
MAD2L1BP	178
MAD2L1P1	0
MAD2L2	18
MADCAM1	4
MADCAM1-AS1	6.954
MADD	238.001
MADD-AS1	0
MAEA	403.208
MAEL	0
MAF	0
MAF1	166
MAF1P1	0
MAFA	1
MAFA-AS1	0
MAFB	4
MAFF	7.811
MAFG	144
MAFG-AS1	0
MAFIP	31.22
MAFK	92
MAFTRR	0
MAG	0
MAGEA1	0
MAGEA10	0
MAGEA11	0
MAGEA12	0
MAGEA13P	0
MAGEA2	0
MAGEA2B	0
MAGEA3	0
MAGEA4	0
MAGEA4-AS1	0
MAGEA5P	0
MAGEA6	0
MAGEA7P	0
MAGEA8	0
MAGEA8-AS1	0
MAGEA9	0
MAGEA9B	0
MAGEB1	0
MAGEB10	0
MAGEB16	0
MAGEB17	0
MAGEB17-AS1	0
MAGEB18	0
MAGEB2	0
MAGEB3	0
MAGEB4	0
MAGEB5	0
MAGEB6	0
MAGEB6B	0
MAGEC1	0
MAGEC2	0
MAGEC3	0
MAGED1	707.98
MAGED2	114
MAGED4	0
MAGED4B	0
MAGEE1	0
MAGEE2	0
MAGEF1	41
MAGEH1	0
MAGEL2	0
MAGI1	862
MAGI1-AS1	0
MAGI1-IT1	4
MAGI2	0
MAGI2-AS1	0
MAGI2-AS2	0
MAGI2-AS3	2
MAGI3	391
MAGIX	6
MAGOH	44
MAGOH-DT	11
MAGOH2P	0
MAGOH3P	0
MAGOHB	36
MAGT1	122.906
MAILR	0
MAIP1	177
MAJIN	0
MAK	0
MAK16	48
MAL	0
MAL-AS1	0
MAL2	8384
MAL2-AS1	0
MALAT1	2752.001
MALINC1	9
MALL	14205.959
MALLP1	343.106
MALLP2	0
MALRD1	0
MALRD1-AS1	0
MALSU1	103
MALT1	201.955
MALT1-AS1	2
MAMDC2	0
MAMDC2-AS1	3
MAMDC4	19
MAML1	223
MAML2	77.188
MAML3	133.461
MAMLD1	2
MAMSTR	0
MAN1A1	749
MAN1A2	581
MAN1A2P1	0
MAN1B1	123.849
MAN1B1-DT	2.064
MAN1C1	12.8
MAN2A1	1295
MAN2A1-DT	0
MAN2A2	80
MAN2B1	157.287
MAN2B2	305.73
MAN2C1	120.249
MANBA	264.999
MANBAL	158
MANCR	30
MANEA	205
MANEA-DT	1
MANEAL	6
MANEALP1	0
MANF	474.001
MANSC1	621.952
MANSC4	0
MAOA	1402
MAOB	554
MAP10	0
MAP1A	1
MAP1B	17
MAP1LC3A	59.999
MAP1LC3B	2240.87
MAP1LC3B2	141.131
MAP1LC3BP1	0
MAP1LC3C	0
MAP1LC3P	0
MAP1S	46
MAP2	1
MAP2K1	280
MAP2K1P1	0
MAP2K2	457.178
MAP2K3	397.351
MAP2K4	383.999
MAP2K4P1	0
MAP2K5	123
MAP2K5-DT	10
MAP2K6	50.001
MAP2K7	78
MAP2K7-AS1	0
MAP3K1	88
MAP3K10	11
MAP3K11	171.013
MAP3K12	6.944
MAP3K13	322.99
MAP3K14	11
MAP3K14-AS1	4
MAP3K15	4.469
MAP3K19	0
MAP3K2	486
MAP3K2-DT	12.757
MAP3K20	77.963
MAP3K20-AS1	0
MAP3K21	249
MAP3K3	13
MAP3K4	87.999
MAP3K4-AS1	0
MAP3K5	151
MAP3K5-AS1	0
MAP3K6	27
MAP3K7	222
MAP3K7CL	5
MAP3K8	38.001
MAP3K9	77.529
MAP3K9-DT	5
MAP4	991.001
MAP4K1	1.999
MAP4K1-AS1	0
MAP4K2	9
MAP4K3	190
MAP4K3-DT	139.001
MAP4K4	67
MAP4K5	329.001
MAP6	0
MAP6-AS1	2
MAP6D1	0
MAP7	551.001
MAP7-AS1	2
MAP7D1	106
MAP7D2	86
MAP7D3	48.025
MAP9	0
MAP9-AS1	3.206
MAPDA	23
MAPK1	2071.118
MAPK10	4.802
MAPK10-AS1	0
MAPK11	0
MAPK12	2.457
MAPK13	747.001
MAPK14	997
MAPK15	2
MAPK1IP1L	329.432
MAPK3	1204.133
MAPK4	0
MAPK6	753
MAPK6-DT	0
MAPK6P1	0
MAPK6P2	0
MAPK6P3	0
MAPK6P4	0
MAPK6P5	0
MAPK6P6	0
MAPK7	150
MAPK8	274
MAPK8IP1	4
MAPK8IP1P1	0
MAPK8IP1P2	0
MAPK8IP2	1
MAPK8IP3	73
MAPK8IP3-AS1	0
MAPK9	378.93
MAPKAP1	285.001
MAPKAPK2	497
MAPKAPK3	88
MAPKAPK5	321.124
MAPKAPK5-AS1	94
MAPKAPK5P1	0
MAPKBP1	122
MAPRE1	564
MAPRE1P1	0
MAPRE1P2	0
MAPRE1P3	0
MAPRE2	476
MAPRE3	622
MAPRE3-AS1	2.594
MAPT	1
MAPT-AS1	1
MAPT-IT1	0
MARCHF1	0
MARCHF10	0
MARCHF10-AS1	0
MARCHF10-DT	1
MARCHF11	0
MARCHF11-AS1	0
MARCHF11-DT	0
MARCHF2	34
MARCHF3	109
MARCHF4	0
MARCHF4-AS1	0
MARCHF5	183
MARCHF6	1113.094
MARCHF6-DT	0
MARCHF7	373.001
MARCHF8	305
MARCHF9	23
MARCKS	1134
MARCKSL1	412
MARCKSL1P1	0
MARCKSL1P2	0
MARCO	0
MARCOL	0
MARF1	941
MARK1	0
MARK2	317.999
MARK2P10	0
MARK2P11	0
MARK2P12	0
MARK2P13	0
MARK2P14	0
MARK2P15	0
MARK2P16	0
MARK2P17	0
MARK2P18	0
MARK2P19	0
MARK2P21	0
MARK2P3	0
MARK2P4	0
MARK2P5	0
MARK2P6	0
MARK2P8	0
MARK2P9	0
MARK3	605.042
MARK3P1	0
MARK3P3	0
MARK4	74
MARS1	497
MARS2	41
MARVELD1	4
MARVELD2	242.479
MARVELD3	1091.612
MAS1	0
MAS1L	0
MAS1LP1	0
MASP1	0
MASP2	0
MAST1	3.015
MAST2	795.168
MAST3	381.001
MAST3-AS1	0
MAST4	80
MAST4-AS1	1
MAST4-IT1	0
MASTL	93
MAT1A	0
MAT2A	1727.999
MAT2AP1	0
MAT2B	491
MATCAP1	41
MATCAP2	107.999
MATK	0
MATN1	0
MATN1-AS1	8
MATN2	58
MATN3	1
MATN4	0
MATR3	637.929
MATR3P1	0
MATR3P2	0
MATR3P3	0
MAU2	101
MAVS	436.618
MAX	296.106
MAX-AS1	0
MAZ	130.999
MB	0
MB21D2	141
MBD1	304.001
MBD2	437.001
MBD3	31.016
MBD3L1	0
MBD3L2	0
MBD3L2B	0
MBD3L3	0
MBD3L4	0
MBD3L5	0
MBD4	137.999
MBD5	155.839
MBD6	228
MBIP	150.001
MBL1P	0
MBL2	0
MBL3P	0
MBLAC1	2
MBLAC2	19
MBNL1	641
MBNL1-AS1	38
MBNL2	1218.001
MBNL3	326
MBOAT1	69
MBOAT2	355.52
MBOAT4	0
MBOAT7	797
MBP	387
MBP-AS1	0
MBTD1	138.009
MBTPS1	385.999
MBTPS1-DT	0
MBTPS2	141.631
MC1R	14.253
MC2R	0
MC3R	0
MC4R	0
MC5R	0
MCAM	0
MCAT	64
MCC	6.003
MCCC1	53.015
MCCC1-AS1	0
MCCC2	781
MCCD1	0
MCCD1P1	0
MCCD1P2	0
MCEE	15
MCEMP1	0
MCF2	0
MCF2L	5
MCF2L-AS1	4
MCF2L2	7.68
MCF2L2P1	0
MCFD2	1214.117
MCFD2-AS1	0
MCFD2P1	0
MCHR1	0
MCHR2	0
MCHR2-AS1	0
MCIDAS	0
MCL1	1957.001
MCM10	5
MCM2	7
MCM3	32
MCM3AP	134.034
MCM3AP-AS1	7
MCM4	27.934
MCM5	7
MCM6	24
MCM7	26.568
MCM8	14
MCM8-AS1	0
MCM9	78
MCMBP	270
MCMDC2	13.794
MCOLN1	67.001
MCOLN2	0
MCOLN3	1
MCPH1	46.013
MCPH1-AS1	1
MCPH1-DT	6.719
MCRIP1	5
MCRIP2	66.118
MCRIP2P1	0
MCRIP2P2	0
MCRS1	131
MCTP1	0
MCTP1-AS1	0
MCTP2	153
MCTS1	329.933
MCTS2	6.96
MCU	1288
MCUB	8
MCUR1	367.971
MCUR1P1	0
MCUR1P2	0
MDC1	17
MDC1-AS1	0
MDFI	5
MDFIC	27
MDFIC2	0
MDGA1	5
MDGA2	0
MDH1	832.041
MDH1B	0
MDH1P1	0
MDH1P2	0
MDH2	1626
MDK	64.345
MDM1	8
MDM2	623.316
MDM4	209.972
MDM4P1	0
MDN1	527.998
MDN1-AS1	2
MDP1	3.785
MDS2	0
ME1	883
ME2	315.384
ME2P1	0
ME3	52
MEA1	88
MEAF6	171.001
MEAF6P1	0
MEAK7	286.7
MECOM	276
MECOM-AS1	0
MECP2	190.001
MECR	20.999
MED1	210.001
MED10	254.999
MED11	65
MED12	221.002
MED12L	10
MED13	709.373
MED13L	316
MED13P1	0
MED14	1314.999
MED14OS	0
MED14P1	0
MED15	516
MED15P1	0
MED15P3	0
MED15P4	0
MED15P5	0
MED15P6	0
MED15P7	0
MED15P8	0
MED15P9	0
MED16	52.9
MED17	174.191
MED18	106.022
MED19	76
MED20	70
MED21	155
MED22	37.966
MED23	349.999
MED24	103.074
MED25	107.48
MED26	50.97
MED27	42
MED28	238
MED28-DT	0
MED28P1	0
MED28P2	0
MED28P3	0
MED28P4	0
MED28P5	0
MED28P6	0
MED28P7	0
MED28P8	0
MED29	119.004
MED30	33
MED31	131
MED4	158.786
MED4-AS1	0
MED6	141.107
MED6P1	0
MED7	90.999
MED8	131.999
MED8-AS1	0
MED9	33.95
MEDAG	0
MEF2A	395
MEF2AP1	0
MEF2B	0
MEF2C	377
MEF2C-AS1	1
MEF2C-AS2	0
MEF2D	271.001
MEFV	5.474
MEG3	0
MEG8	0
MEG9	0
MEGF10	0
MEGF11	0
MEGF6	4
MEGF8	21
MEGF9	433
MEI1	1.202
MEI4	0
MEIG1	2
MEIKIN	0
MEIOB	0
MEIOC	4.042
MEIOSIN	0
MEIS1	0
MEIS1-AS2	0
MEIS1-AS3	0
MEIS2	0
MEIS3	0
MEIS3P1	39
MEIS3P2	0
MELK	26
MELTF	15
MELTF-AS1	2
MEMO1	222.036
MEMO1P1	0
MEMO1P2	0
MEMO1P3	0
MEMO1P4	0
MEMO1P5	0
MEN1	124.999
MEOX1	0
MEOX2	0
MEP1A	3723
MEP1AP1	0
MEP1AP4	0
MEP1B	431
MEPCE	121
MEPE	0
MERTK	6.688
MESD	411.999
MESDP1	0
MESP1	2
MESP2	0
MEST	29.999
MESTIT1	0
MESTP1	0
MESTP2	0
MESTP3	0
MESTP4	0
MET	1453.995
METAP1	379
METAP1D	3
METAP2	423.001
METAP2P1	0
METRN	106
METRNL	180
METTL1	7
METTL13	40
METTL14	96.201
METTL14-DT	4
METTL15	161
METTL15P1	0
METTL15P3	0
METTL16	54.089
METTL17	94.369
METTL18	19
METTL1P1	0
METTL21A	25.505
METTL21AP1	0
METTL21C	0
METTL21EP	3
METTL22	22.867
METTL23	110.695
METTL24	0
METTL25	24
METTL25B	98
METTL26	70.001
METTL27	4
METTL2A	88.932
METTL2B	103.028
METTL3	38.097
METTL4	81.001
METTL5	164
METTL5P1	0
METTL5P2	0
METTL5P3	0
METTL5P4	0
METTL6	34.047
METTL8	66.452
METTL8P1	0
METTL9	644.176
MEX3A	2
MEX3B	0
MEX3C	33.697
MEX3D	134
MFAP1	285
MFAP1P1	0
MFAP2	1
MFAP3	161.001
MFAP3L	2
MFAP4	0
MFAP5	0
MFF	569
MFF-DT	1
MFFP1	0
MFFP2	0
MFGE8	141.069
MFHAS1	178
MFN1	249.499
MFN1P1	0
MFN2	247
MFNG	12
MFRP	0
MFSD1	115.999
MFSD10	263
MFSD11	312.997
MFSD12	3.689
MFSD12-AS1	0
MFSD13A	20
MFSD13B	0
MFSD14A	305.706
MFSD14A-AS1	0
MFSD14B	291.376
MFSD14CP	209.156
MFSD1P1	0
MFSD2A	134.001
MFSD2B	0
MFSD3	33
MFSD4A	12.117
MFSD4B	77.215
MFSD4B-DT	0
MFSD4BP1	0
MFSD5	156
MFSD6	442
MFSD6L	0
MFSD8	143
MFSD9	243.998
MGA	125.048
MGAM	23
MGAM2	961
MGARP	2.911
MGAT1	157
MGAT2	239
MGAT2P1	0
MGAT2P2	0
MGAT3	123
MGAT3-AS1	0
MGAT4A	1306.949
MGAT4B	2023.999
MGAT4C	1.375
MGAT4D	0
MGAT4EP	0
MGAT4FP	0
MGAT5	778
MGAT5B	0
MGLL	1310.051
MGME1	110
MGMT	41
MGP	11.227
MGRN1	344
MGST1	699.001
MGST2	682
MGST3	1246.001
MHENCR	14
MIA	51.764
MIA-RAB4B	8.336
MIA2	953.999
MIA2-AS1	6
MIA3	283
MIAT	0
MIATNB	20.011
MIB1	399
MIB2	27.051
MICA	65.996
MICA-AS1	2
MICAL1	136.537
MICAL2	1583.862
MICAL3	186.107
MICALL1	56.08
MICALL2	110.999
MICALL2-DT	0
MICB	1.003
MICC	0
MICD	0
MICE	2.918
MICG	0
MICOS10	297.803
MICOS10-DT	0
MICOS10-NBL1	0
MICOS10P2	0
MICOS10P3	0
MICOS10P4	0
MICOS13	40.001
MICU1	491.357
MICU2	198.189
MICU3	2
MID1	37
MID1IP1	250
MID1IP1-AS1	0
MID2	33
MIDEAS	533
MIDEAS-AS1	5
MIDN	697.979
MIEF1	296.392
MIEF2	28.963
MIEN1	201.001
MIER1	328
MIER2	32.918
MIER3	629
MIF	731.141
MIF-AS1	9
MIF4GD	79
MIF4GD-DT	0
MIGA1	219.976
MIGA2	194.001
MIIP	16
MILIP	1.53
MILR1	11
MIMT1	0
MINAR1	5
MINAR2	0
MINCR	18
MINDY1	354.067
MINDY2	365.16
MINDY2-DT	21.997
MINDY3	264.001
MINDY4	5.818
MINDY4B	0
MINK1	343
MINPP1	176
MIOS	47
MIOS-DT	1
MIOX	0
MIOXP1	0
MIP	0
MIPEP	77
MIPEPP1	0
MIPEPP2	0
MIPEPP3	0
MIPOL1	70.775
MIR1-1	0
MIR1-1HG	0
MIR1-2	0
MIR100	0
MIR100HG	59.482
MIR101-1	0
MIR101-2	0
MIR103A1	0
MIR103A2	0
MIR103B1	0
MIR103B2	0
MIR105-1	0
MIR105-2	0
MIR106A	0
MIR106AHG	0
MIR106B	0
MIR107	0
MIR10A	0
MIR10B	0
MIR1178	0
MIR1179	0
MIR1180	0
MIR1181	0
MIR1182	0
MIR1183	0
MIR1184-1	0
MIR1184-2	0
MIR1184-3	0
MIR1185-1	0
MIR1185-2	0
MIR1193	0
MIR1197	0
MIR1199	0
MIR1200	0
MIR1202	0
MIR1203	0
MIR1204	0
MIR1205	0
MIR1206	0
MIR1207	0
MIR1208	0
MIR122	0
MIR1224	0
MIR1225	0
MIR1226	0
MIR1227	0
MIR1228	0
MIR1229	0
MIR122HG	1
MIR1231	0
MIR1233-1	0
MIR1233-2	0
MIR1234	0
MIR1236	0
MIR1237	0
MIR1238	1
MIR124-1	0
MIR124-1HG	0
MIR124-2	0
MIR124-2HG	0
MIR124-3	0
MIR1243	0
MIR1244-1	4.284
MIR1244-2	4.284
MIR1244-3	4.284
MIR1244-4	4.284
MIR1245A	0
MIR1245B	0
MIR1246	0
MIR1247	0
MIR1248	0
MIR1249	0
MIR1250	0
MIR1251	0
MIR1252	0
MIR1253	0
MIR1255A	0
MIR1255B1	0
MIR1255B2	0
MIR1256	0
MIR1257	0
MIR1258	0
MIR125A	0
MIR125B1	0
MIR125B2	0
MIR126	0
